name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
BDWare,,https://cncf.io,logos/0040e9882c77d413fd59dbb6c8102c06f515577e6792526133827dc670452b4a.svg,,,,,,,,,BDWare,,,,,,,,,,,,Category 2,要素化流通,,,,,,,,,,,,,,,,,,,,,,,,
BigFlow,,https://cncf.io,logos/74245c72e306bc246857c9581297d2cee651e6e3164a60795e557ee4034bf0f3.svg,,,,,,,,,BigFlow,,,,,,,,,,,,Category 2,互联互通,,,,,,,,,,,,,,,,,,,,,,,,
cunchu,,https://cncf.io,logos/f9b1eea33a112e75d55445e53914093bcb0d3d2861c23bb099321a10c40b5e0a.svg,,,,,,,,,cunchu,,,,,,,,,,,,Category 2,通用算子,,,,,,,,,,,,,,,,,,,,,,,,
DataEase,,https://cncf.io,logos/1df5e851265369eff22e3ba01292a4341d82c4533d452be219544086af182bf1.svg,,,,,,,,,DataEase,,,,,,,,,,,,Category 2,处理分析,,,,,,,,,,,,,,,,,,,,,,,,
DataLab,,https://cncf.io,logos/9f10b3f7402b2d348bfb855eaca9f0f34755a49155f40f2e9eb905b1471a6c04.svg,,,,,,,,,DataLab,,,,,,,,,,,,Category 2,处理分析,,,,,,,,,,,,,,,,,,,,,,,,
DataQ,,https://cncf.io,logos/41f4aef29a702881b8aaddf1e43922ec6fd310e68e8608fd90b8d144cbf03799.svg,,,,,,,,,DataQ,,,,,,,,,,,,Category 2,处理分析,,,,,,,,,,,,,,,,,,,,,,,,
DataSpace,,https://cncf.io,logos/2b1d100a84c20324a0b781c1b4ea72b4c7d00a6a80682dec3d610ba0eace305b.svg,,,,,,,,,DataSpace,,,,,,,,,,,,Category 2,汇聚管理,,,,,,,,,,,,,,,,,,,,,,,,
Double,,https://cncf.io,logos/c295680c9afe148162207cf5d94330b08a2e8d132e32524be13997112c1a0aba.svg,,,,,,,,,Double,,,,,,,,,,,,Category 2,要素化流通,,,,,,,,,,,,,,,,,,,,,,,,
DPGuard,,https://cncf.io,logos/da0f8a927221a6f7fb95b895a762acd15a53da8973955218e95442cb8217ea48.svg,,,,,,,,,DPGuard,,,,,,,,,,,,Category 2,支撑管理,,,,,,,,,,,,,,,,,,,,,,,,
Dr.DI,,https://cncf.io,logos/4f7d94dc85855f50ab6f23c7381af9d4706dd9d7e2b52d5cad66bd63fe9ef2aa.svg,,,,,,,,,Dr.DI,,,,,,,,,,,,Category 2,发布共享,,,,,,,,,,,,,,,,,,,,,,,,
EcoFlow,,https://cncf.io,logos/49fbe5555acd28aadbf828a5a826311bba1d6476a27662b1beb2012b1604801b.svg,,,,,,,,,生态领域,,,,,,,,,,,,Category 1,领域软件,,,,,,,,,,,,,,,,,,,,,,,,
Elasticsearch,,https://cncf.io,logos/45bbc88574f015fa1e72c4a32fa513dc546f99329cbbaad2b7e9b349681316c0.svg,,,,,,,,,Elasticsearch,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
ETCD,,https://cncf.io,logos/6eb367f64a018759c2b41301012b49a0b44e6ad04c35b69e7dad540fae560d15.svg,,,,,,,,,ETCD,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
FairMan,,https://cncf.io,logos/c04739b9a3183e72ce7baa9060efb6a6d9f9db3743d974950f15c671d37af6c9.svg,,,,,,,,,FairMan,,,,,,,,,,,,Category 3,基础框架,,,,,,,,,,,,,,,,,,,,,,,,
findata,,https://cncf.io,logos/cae834813c68f3f2e16c823a8d6c32585fb9f912a88bd12fc9ee148a089a80c0.svg,,,,,,,,,findata,,,,,,,,,,,,Category 2,要素化流通,,,,,,,,,,,,,,,,,,,,,,,,
Flink,,https://cncf.io,logos/4158422a6173a39e7ccef5134228cbb6280c793206f537926333d3e08348f115.svg,,,,,,,,,Flink,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy,,https://cncf.io,logos/1279179f7d4af315be449caefb4d97c31b66beb15ee733806fae4098330f45ed.svg,,,,,,,,,生命领域,,,,,,,,,,,,Category 1,领域软件,,,,,,,,,,,,,,,,,,,,,,,,
Grafand,,https://cncf.io,logos/9f814355cdddb52792aaa339bde8a56763951e85919bfe868a652f28d6550d4f.svg,,,,,,,,,Grafand,,,,,,,,,,,,Category 2,支撑管理,,,,,,,,,,,,,,,,,,,,,,,,
